spesifikasi,criteria,kelas
AMD Ryzen 7 5800U,processors,tinggi
M1 Pro CPU 8-Core GPU 14-Core,processors,tinggi
Intel Core i5-1135G7,processors,tinggi
Intel Core i7,processors,tinggi
Intel Core i5-1235U,processors,tinggi
AMD Ryzen 5 5600H,processors,tinggi
Intel Core i5 i5-520M,processors,tinggi
Intel Core i5-12450H with NVIDIA GeForce RTX 3050,processors,tinggi
Intel Core i5-12450H,processors,tinggi
Intel Core i7-1065G7,processors,tinggi
AMD Ryzen 9 5900HX,processors,tinggi
Intel Core i5-10210U,processors,tinggi
Intel Core i5-8350U,processors,tinggi
Intel Core i7-13650HX,processors,tinggi
Intel Core i3-1215U,processors,tinggi
AMD Ryzen 5 5625U,processors,tinggi
M2 Chip CPU 8-core GPU 10-core,processors,tinggi
M2 Chip CPU 8-core GPU 8-core,processors,tinggi
M2 Chip CPU 8-core GPU 7-core,processors,tinggi
AMD Athlon Silver 3050U,processors,menengah
Intel Core i3-1005G1,processors,menengah
Intel Core i5-1135G7,processors,menengah
Intel Core i5-1135G7,processors,menengah
Intel Core i5,processors,menengah
Intel Celeron N4000,processors,menengah
Intel Core i7,processors,menengah
Intel Celeron N4020,processors,menengah
Intel Core i5-7200U,processors,menengah
AMD Ryzen 3 3250U,processors,menengah
Intel Core i3-1115G4,processors,menengah
Intel Core i3-1005G1,processors,menengah
Intel Core i3-1115G4,processors,menengah
Intel Core i3-10110U,processors,menengah
Intel Celeron N4020,processors,menengah
AMD Ryzen 3 5300U,processors,menengah
Intel Celeron N4000,processors,menengah
Intel Core i3-1115G4,processors,menengah
Intel Celeron N4020,processors,menengah
Intel Core i5-10300H,processors,menengah
Intel Core i5-10210U,processors,menengah
Intel Core i3-1005G1,processors,menengah
Intel Pentium Gold 5405U,processors,menengah
Intel Celeron N3060,processors,rendah
Intel Core i5-6006U,processors,rendah
Intel Core i5-5010U,processors,rendah
Intel Core i5-7020U,processors,rendah
Intel Core i5-3310M,processors,rendah
Intel Core i3-6006U,processors,rendah
Intel Core i3-5010U,processors,rendah
Intel Core i3-7020U,processors,rendah
AMD Athlon 3050U,processors,rendah
Intel Core i3,processors,rendah
AMD A4,processors,rendah
NVIDIA®GeForce RTX™ 3070,graphicCard,tinggi
NVIDIA GeForce RTX 3060,graphicCard,tinggi
NVIDIA GeForce RTX 4050,graphicCard,tinggi
Apple M1 GPU,graphicCard,tinggi
Apple M2,graphicCard,tinggi
NVIDIA GeForce RTX 3050,graphicCard,tinggi
AMD Radeon Vega 7,graphicCard,menengah
AMD Radeon Pro 5300M,graphicCard,menengah
AMD Radeon Vega8,graphicCard,menengah
NVIDIA GeForce GTX 1650,graphicCard,menengah
NVDIA GeForce MX350,graphicCard,menengah
NVIDIA Geforce MX350,graphicCard,menengah
Nvidia GeForce MX250,graphicCard,menengah
Intel Iris Plus Graphics G7,graphicCard,menengah
AMD Radeon™,graphicCard,rendah
Integrated AMD Radeon Graphics,graphicCard,rendah
Intel UHD Graphics,graphicCard,rendah
Intel HD Graphics,graphicCard,rendah
Intel Iris Xe Graphics,graphicCard,rendah
Intel Iris Plus Graphics 645,graphicCard,rendah
Intel Iris Xe Graphics G7 (96EU),graphicCard,rendah
Intel UHD Graphics 600,graphicCard,rendah
Intel HD Graphics 520,graphicCard,rendah
AMD Radeon Graphics,graphicCard,rendah
Integrated Intel UHD Graphics,graphicCard,rendah
Intel UHD Graphics 600,graphicCard,rendah
AMD Integrated Graphics,graphicCard,rendah
Integrated AMD Radeon,graphicCard,rendah
Intel® Integrated,graphicCard,rendah
Intel Integrated HD Graphics,graphicCard,rendah
Intel® Iris™ Plus Graphics,graphicCard,rendah
Intel® UHD Graphics,graphicCard,rendah
Intel UHD Graphics 620,graphicCard,rendah
AMD RadeonTM R5 Graphics,graphicCard,rendah
Integrated Intel®,graphicCard,rendah
Intel HD Graphics 4000,graphicCard,rendah
Intel® Iris® Xe,graphicCard,rendah
NVIDIA Quadro NVS 3100M,graphicCard,rendah
AMD Radeon,graphicCard,rendah
Intel Integrated Graphics,graphicCard,rendah
Intel HD 6000,graphicCard,rendah
Intel HD Graphics 5500,graphicCard,rendah
NVIDIA® GeForce® MX110,graphicCard,rendah
3024x1964,screenResolution,tinggi
2560x1600,screenResolution,tinggi
2560x1664,screenResolution,tinggi
2880x1864,screenResolution,tinggi
2880x1800,screenResolution,tinggi
3072x1920,screenResolution,tinggi
3840x2160,screenResolution,tinggi
1920x1080,screenResolution,menengah
2160x1350,screenResolution,menengah
1920x1280,screenResolution,menengah
1920x1200,screenResolution,menengah
1366x768,screenResolution,rendah
1280x800,screenResolution,rendah
1600x900,screenResolution,rendah
1440x900,screenResolution,rendah
Microsoft,brandName,tinggi
Apple,brandName,tinggi
Samsung,brandName,tinggi
HP,brandName,menengah
Lenovo,brandName,menengah
Acer,brandName,menengah
Asus,brandName,menengah
Dell,brandName,menengah
Infinix,brandName,rendah
Xiaomi,brandName,rendah
